"Sample2009","ZA","militancy"
0,0,1
0,0,2
0,0,3
0,0,4
0,0,3
0,0,4.33333349227905
0,0,5
0,0,6
0,0,3.66666674613953
0,0,3
0,0,1.66666662693024
0,0,2.66666674613953
0,0,1.66666662693024
0,0,4
0,0,2.66666674613953
0,0,4.33333349227905
0,0,4
0,0,3
0,0,2
0,0,3.66666674613953
0,0,2
0,0,4.33333349227905
0,0,4.33333349227905
0,0,5
0,0,4.33333349227905
0,0,1.66666662693024
0,0,6
0,0,3.66666674613953
0,0,3.33333325386047
0,0,3
0,0,3.66666674613953
0,0,3.66666674613953
0,0,3
0,0,3.66666674613953
0,0,4.66666650772095
0,0,5.66666650772095
0,0,4
0,0,4
0,0,3.33333325386047
0,0,3
0,0,5
0,0,3
0,0,6
0,0,4.33333349227905
0,0,2
0,0,2.33333325386047
0,0,5
0,0,3.66666674613953
0,0,5.33333349227905
0,0,2
0,0,3.66666674613953
0,0,4.33333349227905
0,0,4.33333349227905
0,0,3.33333325386047
0,0,3
0,0,3
0,0,4
0,0,6
0,0,2.33333325386047
0,0,4
0,0,4
0,0,5.66666650772095
0,0,4
0,0,6
0,0,2.33333325386047
0,0,3
0,0,2.5
0,0,3.66666674613953
0,0,3
0,0,2
0,0,3
0,0,3.33333325386047
0,0,5
0,0,4.33333349227905
0,0,5
0,0,3
0,0,4.33333349227905
0,0,4
0,0,2
0,0,6
0,0,2.33333325386047
0,0,4
0,0,2
0,0,1
0,0,6
0,0,1.66666662693024
0,0,3
0,0,3.33333325386047
0,0,4.66666650772095
0,0,3
0,0,3.66666674613953
0,0,5
0,0,3.33333325386047
0,0,2
0,0,3
0,0,4.66666650772095
0,0,3
0,0,1.33333337306976
0,0,3
0,0,3.33333325386047
0,0,1.33333337306976
0,0,6
0,0,4
0,0,3
0,0,2
0,0,2.33333325386047
0,0,3.33333325386047
0,0,5.66666650772095
0,0,5
0,0,2.66666674613953
0,0,2.66666674613953
0,0,3
0,0,2
0,0,3.33333325386047
0,0,3.66666674613953
0,0,1
0,0,3
0,0,2.66666674613953
0,0,1.66666662693024
0,0,5.33333349227905
0,0,2
0,0,3
0,0,3.33333325386047
0,0,3
0,0,5.66666650772095
0,0,5
0,0,6
0,0,4.33333349227905
0,0,3.33333325386047
0,0,2.33333325386047
0,0,4
0,0,4
0,0,6
0,0,2.66666674613953
0,0,2.66666674613953
0,0,3.66666674613953
0,0,3
0,0,5.66666650772095
0,0,2.33333325386047
0,0,6
0,0,3.66666674613953
0,0,3.66666674613953
0,0,3.66666674613953
0,0,2.33333325386047
0,0,2.33333325386047
0,0,2.33333325386047
0,0,3.66666674613953
0,0,4.33333349227905
0,0,3.66666674613953
0,0,4
0,0,2.33333325386047
0,0,3.33333325386047
0,0,3.66666674613953
0,0,4
0,0,4
0,0,3.33333325386047
0,0,5.66666650772095
0,0,3.66666674613953
0,0,4.33333349227905
0,0,2.66666674613953
0,0,5
0,0,2.66666674613953
0,0,5.33333349227905
0,0,3.66666674613953
0,0,3
0,0,4
0,0,3.66666674613953
0,0,2.33333325386047
0,0,4
0,0,4
0,0,3.33333325386047
0,0,2
