"","MayorID","FullName","LastName","FirstName","GenderMale","GenderFemale","RaceWhite","RaceBlack","RaceHispanic","RaceOther","PartyRepublican","PartyDemocrat","PartyNonPartisan","PartyOther","Ideology","IdeologySD","LastElectionDate","PercentVote","YearsCurrentPosition","CityManager","CouncilManager","MayorCouncil","Title","CityID","CityName","CityNameFull","CensusID","CensusID2","State","StateAB","Region","Division","StateFIPS","Population","Latitude","Longitude","CityAge","CityMale","CityFemale","CityWhite","CityBlack","CityHispanic","CityOwner","CityRenter","GovWebsite","FacebookPageName","FacebookPageID","FacebookLink","TwitterHandle","TwitterLink"
"92","92","Steve Ly","Ly","Steve",1,0,0,0,0,1,NA,NA,NA,NA,0.10302406,0.12894107,"11/8/2016",44.5,2,1,1,0,"Mayor","92","Elk Grove","City of Elk Grove","1600000US0622020","622020","California","CA","4","9","6",153015,38.4144,-121.385,34.3,48.4,51.6,46.1,11.2,18,74.6,25.4,"http://www.elkgrovecity.org/cms/One.aspx?portalId=109669&pageId=225238","stevely4elkgrove","587252974685430","facebook.com/stevely4elkgrove","steve4elkgrove","twitter.com/steve4elkgrove"
"93","93","James C. Ledford Jr.","Ledford Jr.","James C.",1,0,1,0,0,0,1,0,0,0,-0.0529859,0.10825063,"11/8/2016",57.75,26,1,1,0,"Mayor","93","Palmdale","City of Palmdale","1600000US0655156","655156","California","CA","4","9","6",152750,34.5913,-118.109,29.7,48.8,51.2,49,14.8,54.4,67.9,32.1,"http://www.cityofpalmdale.org/Your-City-Hall/City-Council","jimledfordforpalmdale","129374723800180","facebook.com/jimledfordforpalmdale",NA,NA
"94","94","Karen Spiegel","Spiegel","Karen",0,1,1,0,0,0,NA,NA,NA,NA,0.17867446,0.10964656,"12/6/2017",NA,12,1,1,0,"Mayor","94","Corona","City of Corona","1600000US0616350","616350","California","CA","4","9","6",152374,33.8624,-117.564,32.5,49.2,50.8,59.7,5.9,43.6,67.2,32.8,"https://www.coronaca.gov/government/city-council/karen-spiegel",NA,NA,NA,"spiegelforbos18","https://twitter.com/spiegelforbos18"
"95","95","Joe Gunter","Gunter","Joe",1,0,1,0,0,0,1,0,0,0,-0.1803422,0.11649486,"11/8/2016",67.84,6,1,1,0,"Mayor","95","Salinas","City of Salinas","1600000US0664224","664224","California","CA","4","9","6",150441,36.6902,-121.634,28.8,50.5,49.5,45.8,2,75,45.1,54.9,"https://www.cityofsalinas.org/our-government/city-council/mayor/profiles/joe-gunter","joeguntersalinas","1758291567824324","facebook.com/joeguntersalinas",NA,NA
"96","96","Tim Sandoval","Sandoval","Tim",1,0,0,0,0,1,NA,NA,NA,NA,-0.2443115,0.13311629,"11/8/2016",61.35,2,1,1,0,"Mayor","96","Pomona","City of Pomona","1600000US0658072","658072","California","CA","4","9","6",149058,34.0586,-117.761,29.5,50,50,48,7.3,70.5,55.1,44.9,"http://www.ci.pomona.ca.us/index.php/contact-us-home/contact-the-city-council/31-mayor-tim-sandoval","onepomona","1480379085601393","facebook.com/onepomona","onepomona","twitter.com/onepomona"
"97","97","Patrick J. Furey","Furey","Patrick J.",1,0,1,0,0,0,NA,NA,NA,NA,-0.027553,0.11014547,"6/3/2014",NA,4,1,1,0,"Mayor","97","Torrance","City of Torrance","1600000US0680000","680000","California","CA","4","9","6",145438,33.835,-118.341,41.3,48.6,51.4,51.1,2.7,16.1,56.5,43.5,"https://www.torranceca.gov/government/city-council/furey","MayorPatFurey","330631266354","facebook.com/MayorPatFurey","mayorpatfurey","twitter.com/mayorpatfurey"
"98","98","Barbara Halliday","Halliday","Barbara",0,1,1,0,0,0,NA,NA,NA,NA,-0.2042731,0.10551444,"6/3/2014",NA,4,1,1,0,"Mayor","98","Hayward","City of Hayward","1600000US0633000","633000","California","CA","4","9","6",144186,37.6281,-122.106,33.5,49.3,50.7,34.2,11.9,40.7,52.8,47.2,"https://www.hayward-ca.gov/your-government/city-council/mayor-barbara-halliday","HallidayForHayward","234216119929184","facebook.com/HallidayForHayward","hallidayforhwd","twitter.com/hallidayforhwd"
"99","99","Sam Abed","Abed","Sam",1,0,1,0,0,0,1,0,0,0,0.14907398,0.09907077,"11/4/2014",63,8,1,1,0,"Mayor","99","Escondido","City of Escondido","1600000US0622804","622804","California","CA","4","9","6",143911,33.1336,-117.073,32.5,49.5,50.5,60.4,2.5,48.9,52.2,47.8,"https://www.escondido.org/sam-abed-council-member.aspx","EscondidoMayor","160075399715","facebook.com/EscondidoMayor","mayorsamabed","twitter.com/mayorsamabed"
"100","100","Glenn Hendricks","Hendricks","Glenn",1,0,1,0,0,0,NA,NA,NA,NA,-0.4778839,0.10031447,"1/10/2018",NA,2,1,1,0,"Mayor","100","Sunnyvale","City of Sunnyvale","1600000US0677000","677000","California","CA","4","9","6",140081,37.3858,-122.026,35.6,50.4,49.6,43,2,18.9,48,52,"https://sunnyvale.ca.gov/government/council.htm",NA,NA,NA,"glennh2013","https://twitter.com/GlennH2013"
"101","101","Terry Tornek","Tornek","Terry",1,0,1,0,0,0,0,1,0,0,-0.2302457,0.09486434,"4/21/2015",55,3,1,1,0,"Mayor","101","Pasadena","City of Pasadena","1600000US0656000","656000","California","CA","4","9","6",137122,34.1606,-118.14,37.2,48.8,51.2,55.8,10.7,33.7,45,55,"https://ww5.cityofpasadena.net/mayor/","Mayor-Terry-Tornek-482198948618431",NA,"facebook.com/Mayor-Terry-Tornek-482198948618431","terrytornek","twitter.com/terrytornek"
"102","102","Doug Chaffee","Chaffee","Doug",1,0,1,0,0,0,NA,NA,NA,NA,-0.0576937,0.11052335,"12/5/2017",NA,1,1,1,0,"Mayor","102","Fullerton","City of Fullerton","1600000US0628000","628000","California","CA","4","9","6",135161,33.8857,-117.928,34.8,49.1,50.9,53.9,2.3,34.4,54.2,45.8,"https://www.cityoffullerton.com/gov/citycouncil/dougchaffee.asp","DougChaffeeFullertonCityCouncil","139655806061955","facebook.com/DougChaffeeFullertonCityCouncil","dougchaffee2014","https://twitter.com/DougChaffee2014"
"103","103","Teresa 'Tita' Smith","Smith","Teresa 'Tita'",0,1,1,0,0,0,NA,NA,NA,NA,0.02639903,0.10694626,"11/4/2014",81.6,9,1,1,0,"Mayor","103","Orange","City of Orange","1600000US0653980","653980","California","CA","4","9","6",136416,33.8048,-117.825,34.8,50.4,49.6,67.1,1.6,38.1,60.7,39.3,"https://www.cityoforange.org/1277/Mayor-Teresa-Tita-Smith-Biography","ElectTitaSmith","181745511881457","facebook.com/ElectTitaSmith",NA,NA
"104","104","Andrew P. Fox","Fox","Andrew P.",1,0,1,0,0,0,NA,NA,NA,NA,-0.0565005,0.09857052,"12/5/2017",NA,5,1,1,0,"Mayor","104","Thousand Oaks","City of Thousand Oaks","1600000US0678582","678582","California","CA","4","9","6",126683,34.1933,-118.874,41.5,48.9,51.1,80.3,1.3,16.8,73.1,26.9,"http://www.toaks.org/departments/city-council",NA,NA,NA,NA,NA
"105","105","Warren Gubler","Gubler","Warren",1,0,1,0,0,0,1,0,0,0,0.25394823,0.11339102,"12/16/2016",NA,2,1,1,0,"Mayor","105","Visalia","City of Visalia","1600000US0682954","682954","California","CA","4","9","6",124442,36.3272,-119.323,31.6,48.8,51.2,64.5,2.1,46,61.4,38.6,"http://www.visalia.city/government/city_council/vice_mayor_e_warren_gubler.asp","warrengubler","1574120205980012","facebook.com/warrengubler","warrengubler","twitter.com/WarrenGubler"
"106","106","Bob Huber","Huber","Bob",1,0,1,0,0,0,NA,NA,NA,NA,-0.0210716,0.09784467,"11/8/2016",100,8,1,1,0,"Mayor","106","Simi Valley","City of Simi Valley","1600000US0672016","672016","California","CA","4","9","6",124237,34.2669,-118.748,37.8,49.1,50.9,75.3,1.4,23.3,74.1,25.9,"http://www.simivalley.org/departments/city-council","huberforsupervisor","1480416568722582","facebook.com/huberforsupervisor","huberformayor","twitter.com/huberformayor"
"107","107","Edi E. Birsan","Birsan","Edi E.",1,0,1,0,0,0,NA,NA,NA,NA,-0.1812119,0.1013933,"12/29/2017",NA,1,1,1,0,"Mayor","107","Concord","City of Concord","1600000US0616000","616000","California","CA","4","9","6",122067,37.9722,-122.002,37,49.7,50.3,64.5,3.6,30.6,61.1,38.9,"http://www.cityofconcord.org/page.asp?pid=5002",NA,NA,NA,"edibirsan","twitter.com/edibirsan"
"108","108","Susan Rohan","Rohan","Susan",0,1,0,0,0,1,NA,NA,NA,NA,0.22491909,0.10740915,"11/4/2014",NA,4,1,1,0,"Mayor","108","Roseville","City of Roseville","1600000US0662938","662938","California","CA","4","9","6",118788,38.7657,-121.303,36.8,47.9,52.1,79.3,2,14.6,65.5,34.5,"https://www.roseville.ca.us/government/city_council/meet_council/mayor_susan_rohan/",NA,NA,NA,NA,NA
"109","109","Lisa M. Gillmor","Gillmor","Lisa M.",0,1,1,0,0,0,NA,NA,NA,NA,-0.2885785,0.10493547,"2/17/2016",NA,2,1,1,0,"Mayor","109","Santa Clara","City of Santa Clara","1600000US0669084","669084","California","CA","4","9","6",116468,37.3646,-121.968,34.1,50.5,49.5,45,2.7,19.4,45.9,54.1,"http://santaclaraca.gov/government/council/mayor-lisa-m-gillmor",NA,NA,NA,"lisagillmor","twitter.com/lisagillmor"
